
> ultra-svet@0.1.0 parse
> node scripts/parse.mjs

Importing products from https://ultra-svet.com
limit=1000, delay=500ms, concurrency=3, output=products.json
existing=1000, target=1000
scan 800 products, queue 3137: /avtomatychnyi-vymykach-1p-6ka-c-50a-1m-hager-mcn150-30247-httpsexamplecomukproduct?page=2
scan 800 products, queue 3149: /avtomatichnij-vimikach-1p-6ka-c-63a-1m-hager-mcn163-30248-httpsexamplecomukproduct
scan 800 products, queue 3162: /avtomatychnyi-vymykach-1p-6ka-c-50a-1m-hager-mcn150-30247-httpsexamplecomukproduct?page=3
scan 800 products, queue 3176: /avtomatichnij-vimikach-1p-6ka-c-63a-1m-hager-mcn163-30248-httpsexamplecomukproduct?page=2
scan 800 products, queue 3191: /avtomatichnij-vimikach-1p-6ka-c-6a-1m-hager-mcn106-30239-httpsexamplecomukproduct
scan 801 products, queue 3202: /avtomatichnij-vimikach-1p-6ka-c-63a-1m-hager-mcn163-30248-httpsexamplecomukproduct?page=3
scan 801 products, queue 3215: /avtomatichnij-vimikach-1p-6ka-c-6a-1m-hager-mcn106-30239-httpsexamplecomukproduct?page=2
scan 801 products, queue 3223: /avtomaticheskij-vyklyuchatel-2-pol-10a-s-6ka-schneider-resi9-r9f12210
scan 801 products, queue 3238: /avtomatichnij-vimikach-1p-6ka-c-6a-1m-hager-mcn106-30239-httpsexamplecomukproduct?page=3
scan 801 products, queue 3248: /avtomaticheskij-vyklyuchatel-2-pol-10a-s-6ka-schneider-resi9-r9f12210?page=2
scan 801 products, queue 3263: /avtomaticheskij-vyklyuchatel-2-pol-16a-s-6ka-schneider-resi9-r9f12216
scan 801 products, queue 3277: /avtomaticheskij-vyklyuchatel-2-pol-10a-s-6ka-schneider-resi9-r9f12210?page=3
scan 801 products, queue 3290: /avtomaticheskij-vyklyuchatel-2-pol-16a-s-6ka-schneider-resi9-r9f12216?page=2
scan 801 products, queue 3302: /avtomaticheskij-vyklyuchatel-2-pol-20a-s-6ka-schneider-resi9-r9f12220
scan 801 products, queue 3315: /avtomaticheskij-vyklyuchatel-2-pol-16a-s-6ka-schneider-resi9-r9f12216?page=3
scan 801 products, queue 3329: /avtomaticheskij-vyklyuchatel-2-pol-20a-s-6ka-schneider-resi9-r9f12220?page=2
scan 802 products, queue 3341: /avtomaticheskij-vyklyuchatel-2-pol-20a-s-6ka-schneider-resi9-r9f12220?page=3
scan 802 products, queue 3354: /avtomaticheskij-vyklyuchatel-2-pol-25a-s-6ka-schneider-resi9-r9f12225
scan 802 products, queue 3368: /avtomaticheskij-vyklyuchatel-2-pol-32a-s-6ka-schneider-resi9-r9f12232
scan 802 products, queue 3382: /avtomaticheskij-vyklyuchatel-2-pol-25a-s-6ka-schneider-resi9-r9f12225?page=3
scan 802 products, queue 3397: /avtomaticheskij-vyklyuchatel-2-pol-25a-s-6ka-schneider-resi9-r9f12225?page=2
scan 802 products, queue 3410: /avtomaticheskij-vyklyuchatel-2-pol-32a-s-6ka-schneider-resi9-r9f12232?page=2
scan 802 products, queue 3419: /avtomaticheskij-vyklyuchatel-2-pol-40a-s-6ka-schneider-resi9-r9f12240
scan 802 products, queue 3433: /avtomaticheskij-vyklyuchatel-2-pol-32a-s-6ka-schneider-resi9-r9f12232?page=3
scan 802 products, queue 3446: /avtomaticheskij-vyklyuchatel-2-pol-40a-s-6ka-schneider-resi9-r9f12240?page=2
scan 803 products, queue 3460: /avtomaticheskij-vyklyuchatel-2-pol-50a-abb-electrik-sh-202-b
scan 803 products, queue 3475: /avtomaticheskij-vyklyuchatel-2-pol-40a-s-6ka-schneider-resi9-r9f12240?page=3
scan 803 products, queue 3489: /avtomaticheskij-vyklyuchatel-2-pol-50a-abb-electrik-sh-202-b?page=2
scan 803 products, queue 3496: /avtomaticheskij-vyklyuchatel-2-pol-50a-abb-electrik-sh-202-b?page=3
scan 803 products, queue 3511: /avtomaticheskij-vyklyuchatel-2-pol-50a-s-6ka-schneider-resi9-r9f12250
scan 804 products, queue 3521: /avtomaticheskij-vyklyuchatel-2-pol-50a-s-6ka-schneider-resi9-r9f12250?page=2
scan 804 products, queue 3535: /avtomaticheskij-vyklyuchatel-2-pol-63a-s-6ka-schneider-resi9-r9f12263
scan 804 products, queue 3550: /avtomaticheskij-vyklyuchatel-2-pol-50a-s-6ka-schneider-resi9-r9f12250?page=3
scan 804 products, queue 3561: /avtomaticheskij-vyklyuchatel-2-pol-63a-s-6ka-schneider-resi9-r9f12263?page=2
scan 804 products, queue 3574: /avtomaticheskij-vyklyuchatel-2-pol-6a-s-6ka-schneider-resi9-r9f12206
scan 804 products, queue 3589: /avtomaticheskij-vyklyuchatel-2-pol-63a-s-6ka-schneider-resi9-r9f12263?page=3
scan 805 products, queue 3601: /avtomaticheskij-vyklyuchatel-2-pol-6a-s-6ka-schneider-resi9-r9f12206?page=2
scan 805 products, queue 3613: /avtomaticheskij-vyklyuchatel-2-pol-6a-s-6ka-schneider-resi9-r9f12206?page=3
[parser:warn] retry request {"url":"https://ultra-svet.com/avtomatichnij-vimikach-2p-6ka-c-40a-2m-hager-mcn240-38058-httpsexamplecomukproduct","attempt":1}
scan 805 products, queue 3625: /avtomatichnij-vimikach-2p-6ka-c-40a-2m-hager-mcn240-38058-httpsexamplecomukproduct
scan 805 products, queue 3638: /avtomatichnij-vimikach-2p-6ka-c-40a-2m-hager-mcn240-38058-httpsexamplecomukproduct?page=2
scan 805 products, queue 3646: /avtomatichnij-vimikach-2p-6ka-c-40a-2m-hager-mcn240-38058-httpsexamplecomukproduct?page=3
scan 805 products, queue 3660: /avtomatichnij-vimikach-2p-6ka-c-50a-2m-hager-mcn250-30262-httpsexamplecomukproduct
scan 805 products, queue 3671: /avtomatichnij-vimikach-2p-6ka-c-50a-2m-hager-mcn250-30262-httpsexamplecomukproduct?page=2
scan 805 products, queue 3685: /avtomatichnij-vimikach-2p-6ka-c-50a-2m-hager-mcn250-30262-httpsexamplecomukproduct?page=3
scan 805 products, queue 3700: /avtomatichnij-vimikach-2p-6ka-c-63a-2m-hager-mcn263-30263-httpsexamplecomukproduct
scan 810 products, queue 3804: /nizkovoltnoe-oborudovanie/?page=2
scan 810 products, queue 3819: /avtomatichnij-vimikach-2p-6ka-c-63a-2m-hager-mcn263-30263-httpsexamplecomukproduct?page=2
scan 810 products, queue 3832: /avtomatichnij-vimikach-2p-6ka-c-63a-2m-hager-mcn263-30263-httpsexamplecomukproduct?page=3
scan 812 products, queue 3929: /nizkovoltnoe-oborudovanie/?page=3
scan 812 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=4
scan 812 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=5
scan 825 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=6
scan 826 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=7
scan 826 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=8
scan 826 products, queue 4000: /nizkovoltnoe-oborudovanie/?page=9
scan 826 products, queue 3989: /nizkovoltnoe-oborudovanie/?page=24
scan 829 products, queue 3997: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-b-z-lider-legend-lvr10-760
scan 832 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-b-z-lider-legend-lvr10-760?page=2
scan 833 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-lider-legend-lvr10-767
scan 835 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-b-z-lider-legend-lvr10-760?page=3
scan 838 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bap-40960-httpsexamplecomukproduct
scan 839 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-lider-legend-lvr10-767?page=2
scan 839 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-lider-legend-lvr10-767?page=3
scan 841 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bap-40960-httpsexamplecomukproduct?page=2
scan 842 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-s-kryshkoj-ip54-lemanso-nemo-lmr2410
scan 844 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bap-40960-httpsexamplecomukproduct?page=3
scan 846 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-s-kryshkoj-ip54-lemanso-nemo-lmr2410?page=3
scan 848 products, queue 4000: /blok-zovnishnij-vymykach-1-kl-rozetka-z-z-z-kryshkoyu-siryj-ip54-lezard-754-0200-100-123
scan 848 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-1-kl-rozetka-s-z-s-kryshkoj-ip54-lemanso-nemo-lmr2410?page=2
scan 849 products, queue 4000: /blok-zovnishnij-vymykach-1-kl-rozetka-z-z-z-kryshkoyu-siryj-ip54-lezard-754-0200-100-123?page=2
scan 850 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bap-40976-httpsexamplecomukproduct
scan 850 products, queue 4000: /blok-zovnishnij-vymykach-1-kl-rozetka-z-z-z-kryshkoyu-siryj-ip54-lezard-754-0200-100-123?page=3
